18, 52
13, -88
-27, -17
51, -23
-27, -83
-95, 56
-66, 32
63, -21
28, 49
19, 73
-42, -95
-97, 69
0, 55
39, -30
60, 78
-30, -50
-62, -92
-28, 58
-1, 88
18, 38
10, 2
59, -27
-1, 70
-57, -68
76, -21
-8, -13
-77, -13
1, -85
61, -1
-53, -17
-4, -64
60, 7
-99, -26
-8, -7
35, -25
-29, 82
25, -89
-61, -8
24, -44
98, -98
10, -7
80, -87
39, 68
-84, -25
8, -19
26, -9
-18, 49
-69, -1
98, 72
73, -74
-7, -52
-79, -91
-33, 66
44, -9
-36, -40
-38, -88
4, -60
4, -65
-87, 96
97, -55
-23, -99
13, 47
-58, 92
-27, -43
1, -87
-62, -88
-96, -21
26, -96
83, 98
3, -64
53, 57
10, -74
-24, 13
52, 32
-74, -56
11, 60
98, 56
-12, 80
7, -89
-35, -79
1, -89
-90, 40
-94, 11
47, 45
-19, 53
77, 33
-11, -75
15, -71
-96, 52
20, 79
-36, -72
-32, -25
-55, 72
68, 17
36, 6
98, -24
-48, 54
-3, -85
-99, -13
22, -27
-37, 71
-29, -59
-13, -8
50, -44
63, 53
23, -83
-18, -37
-58, 49
-15, 78
49, -88
81, 93
-1, -50
9, -21
13, 6
22, 98
29, 78
-93, -94
80, 34
93, -98
8, -1
5, 43
43, 49
30, 29
-30, 54
-72, 32
26, -95
-97, 17
27, 93
19, 18
49, 35
-83, 8
-34, -27
-1, -61
-18, 6
-95, -60
80, -78
-19, 37
-8, -95
67, 30
21, -92
-60, -89
42, 80
-91, 45
-67, -73
-69, -88
-62, -38
26, 94
-29, 46
43, 19
-29, 10
78, -40
76, 53
13, 83
52, -99
-20, -63
-69, 44
-20, -26
44, -12
-22, -5
25, -75
-28, -5
-65, 53
30, 49
-43, -96
76, 83
-82, -52
-31, -32
64, 2
-75, 16
80, 73
-78, 94
26, 90
-78, -88
-44, -66
93, 17
-28, -40
80, -66
77, -73
-78, -53
71, -41
-17, -47
45, -55
-48, 98
37, -24
-59, -51
89, 65
56, 21
23, -26
-51, -79
77, 87
7, -41
79, -17
-88, 73
-42, -82
-24, -100
-38, 86
-11, -89
-30, -47
72, -53
2, 6
-42, 47
-61, 98
-80, -3
55, 89
-16, 6
-8, -95
-34, 5
23, -83
-37, 29
-32, 63
-35, -42
-33, -52
21, -35
-35, -75
33, 16
83, 89
-24, -34
-13, 6
-37, -74
58, 73
30, 36
42, 70
-37, 61
-92, 77
-83, 55
90, 76
-76, 98
30, -67
11, 20
-66, -55
93, -56
1, 62
99, 57
-51, 72
-92, 41
-75, 5
23, -8
78, 46
8, 66
57, 31
32, -34
17, -69
-14, 88
89, -63
2, -96
12, 42
83, 12
70, -47
-20, -98
75, 86
-57, -20
-19, -49
25, -73
89, 46
88, -38
53, -63
-74, 33
-26, -59
78, -17
-25, 75
47, 7
40, 28
-62, -80
-55, 11
-51, 74
37, -37
-70, 5
13, 50
-13, -39
-8, 2
-34, -83
-75, 61
-4, 75
41, 99
-88, 97
-7, 82
-30, -68
-46, -23
-2, -17
55, -53
-100, -52
-66, -58
72, -20
48, 9
-51, 17
-66, 28
-88, 6
2, -40
-22, 28
64, -99
-90, 66
-76, -97
-73, -60
10, 50
-31, -32
-67, 23
15, -30
-18, -45
16, 34
-83, -2
39, 45
54, 98
45, 14
-23, -100
-63, -71
-60, 13
38, -66
-59, -45
-44, 44
39, 55
53, 98
-20, 10
80, 61
-47, -65
-71, 61
34, 36
53, 18
-90, -42
69, -87
49, -4
-6, -91
44, -74
-75, -24
-35, -64
49, 82
7, 43
8, 3
17, -81
83, -85
70, -11
53, 28
-41, 1
72, -77
-95, 92
-52, -26
8, -18
23, 78
-80, 18
65, 44
-86, 29
-90, -19
-28, 89
41, -45
-92, 50
25, 73
-27, -42
48, 1
