-24	-82
39	69
-45	87
-49	2
-30	67
5	-74
-98	-51
-28	94
-77	-11
-58	76
20	43
-6	98
-32	98
-79	41
85	-72
-48	-66
49	25
-12	-67
-51	85
-41	6
-70	29
-8	-40
51	-27
80	46
48	87
-55	67
-19	-97
-67	-55
88	69
92	72
48	7
93	-95
17	-32
86	19
-36	-4
-79	-76
33	92
28	70
-54	2
34	27
-41	-94
47	-60
75	63
-85	43
-27	-97
44	-2
-86	-73
-60	-53
-71	12
89	-81
-71	-9
33	-57
-8	86
29	30
-64	-88
-68	-22
45	15
-30	-60
-86	36
-42	57
58	57
-36	-16
-10	-14
-36	55
-60	40
83	-69
-31	-64
67	90
14	10
11	82
-82	-13
-71	-42
-18	-20
28	69
-38	-50
93	52
62	20
14	-95
-47	76
-61	-70
53	4
21	-27
51	91
-66	-60
16	55
39	0
-92	7
-92	23
33	63
-11	7
47	-16
-48	98
-22	73
12	-59
39	27
-97	-9
-93	45
-67	13
-46	67
-48	35
-13	20
24	85
90	77
-7	68
-11	-2
-95	24
-7	10
45	24
70	36
46	-42
66	-39
-89	83
-83	-21
-27	89
-78	-5
-98	95
-58	61
-97	-99
-37	-92
-32	69
-59	58
-85	-57
70	83
19	38
72	-40
-36	6
-32	-28
38	-60
34	9
