100	750050	124722
150	1.71005e+06	269374
200	3.12005e+06	423740
250	4.93755e+06	671855
300	6.93005e+06	1.45739e+06
350	8.94255e+06	966293
400	1.344e+07	2.05869e+06
450	1.62e+07	1.06727e+06
500	2.05e+07	2.89875e+06
550	2.20826e+07	4.2302e+06
600	2.844e+07	6.83052e+06
650	3.2955e+07	4.8989e+06
700	3.724e+07	4.8727e+06
750	4.3875e+07	7.5234e+06
800	4.992e+07	8.01066e+06
850	5.56326e+07	1.01035e+07
900	6.399e+07	1.21949e+07
950	6.76876e+07	9.51319e+06
1000	8e+07	8.49837e+06
1100	9.438e+07	5.84486e+06
1200	1.1232e+08	1.66968e+07
