10	7.5363e-07	7.6034e-07	6.78523e-08	5.95502e-09
12	9.1798e-07	1.23762e-06	6.61946e-08	3.21111e-07
14	1.04355e-06	1.0347e-06	6.27886e-08	4.74682e-09
16	1.51904e-06	1.96628e-06	1.99407e-07	4.38374e-07
18	1.37138e-06	1.73528e-06	7.05054e-08	3.84091e-07
20	1.44332e-06	1.43016e-06	6.43362e-08	5.08862e-09
24	1.74523e-06	1.75002e-06	8.44505e-08	5.34603e-09
28	1.98313e-06	1.96089e-06	6.72985e-08	4.04586e-09
32	2.83913e-06	2.59208e-06	4.55495e-07	2.28533e-07
36	2.84054e-06	3.04891e-06	2.10066e-07	2.63271e-07
40	3.17265e-06	2.85515e-06	2.90689e-07	6.81793e-09
48	4.09024e-06	3.62632e-06	5.80664e-07	2.26586e-07
56	4.34136e-06	4.86739e-06	2.3706e-07	4.66959e-07
74	5.46516e-06	5.16141e-06	2.30537e-07	7.5923e-09
82	6.12911e-06	6.41452e-06	1.99138e-07	5.47958e-07
90	6.48776e-06	6.66242e-06	1.98056e-07	3.89241e-07
