10	7.6807e-07	7.6135e-07	6.64822e-08	5.22499e-09
12	8.9129e-07	1.1651e-06	6.6258e-08	2.65492e-07
14	9.758e-07	1.03052e-06	6.03156e-08	2.99627e-08
16	1.29634e-06	1.16383e-06	1.30804e-07	5.16422e-09
18	1.29934e-06	1.29579e-06	7.02041e-08	4.96135e-09
20	1.921e-06	1.43515e-06	4.85012e-07	4.5597e-09
24	1.72099e-06	1.78045e-06	5.85028e-08	4.77708e-09
28	2.02985e-06	2.52016e-06	1.44918e-07	4.0014e-07
32	2.27703e-06	2.23808e-06	7.26734e-08	5.17986e-09
36	2.8671e-06	3.07912e-06	2.31938e-07	3.55216e-07
40	2.89633e-06	2.76481e-06	1.25624e-07	5.23872e-09
48	4.6383e-06	4.30417e-06	4.941e-07	4.09044e-07
56	3.89207e-06	4.10373e-06	5.49489e-08	2.6313e-07
74	5.25154e-06	5.05011e-06	1.3364e-07	5.35081e-09
82	6.16365e-06	5.87206e-06	3.02682e-07	3.01778e-07
90	7.54962e-06	7.76058e-06	4.99409e-07	6.22468e-07
